feedspotPage,feedspotFeedId,feedspotFolderId,name,rssUrl,websiteUrl,notes,tier,category,dinner_score,enabled,error
"https://www.feedspot.com/reader/fo/7957212/fe/5560029","5560029","7957212","24x7 Magazine » Medical Equipment","https://24x7mag.com/medical-equipment/feed/","//24x7mag.com","Find the top trends in the Medical Equipment industry. 24x7 offers educational information on technology, regulations, industry trends, managerial advice, and professional profiles. 24x7 is the #1 source for news, business, and technical knowledge in the medical service and support industry.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957212/fe/5601424","5601424","7957212","Medical Buyer","https://medicalbuyer.co.in/feed/","//medicalbuyer.co.in","The leading monthly magazine for medical equipment and devices, providing a unique buyer-seller interface, Medical Buyer is a reliable source of information for purchase decision-makers. The web portal is positioned as the preferred source for medical equipment and device buyers in India, searching for vendors and product information. The portal provides an opportunity for vendors to build brand image, provide live business information, and generate customer leads.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957212/fe/5295360","5295360","7957212","Medical Design and Outsourcing","http://feeds.feedburner.com/MedicalDesignAndOutsourcing","//medicaldesignandoutsourcing.com","Medical Design & Outsourcing covers the technical advancements fueling innovation in the design, development and contract manufacturing aspects of medical devices and equipment. In addition to posting several staff-written stories per day, we publish a print edition seven times a year with themes such as leadership in medtech, enabling technologies, hot topics, contract manufacturing, women in medtech, the medical device equipment handbook and the Big 100, an in-depth look at the biggest medtech companies in the world.","","","10","true",""
