feedspotPage,feedspotFeedId,feedspotFolderId,name,rssUrl,websiteUrl,notes,tier,category,dinner_score,enabled,error
"https://www.feedspot.com/reader/fo/7957208/fe/5194612","5194612","7957208","HVAC-Talk Forum » Heat Pump","https://hvac-talk.com/vbb/external.php?type=RSS2","//hvac-talk.com","Come across news & updates on HVAC-Talk in this forum. Discuss Walk-ins, Display cases, Ice Machines, and other refrigeration equipment, talk about HVAC controls in general including automation, DDC, and pneumatics, and learn about commercial food service equipment here.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957208/fe/5000459","5000459","7957208","Industry Today","https://industrytoday.com/feed/","//industrytoday.com","Industry Today is the media platform of choice that reaches and serves decision-makers and buyers in the manufacturing industry and beyond. It provides industrial leaders with world-class reporting across the board from aerospace, automotive, chemicals, engineering, food and beverage, material handling, metals and mining, supply chain to transportation and logistics, and more.","","","10","true",""
