feedspotPage,feedspotFeedId,feedspotFolderId,name,rssUrl,websiteUrl,notes,tier,category,dinner_score,enabled,error
"https://www.feedspot.com/reader/fo/7957213/fe/5451468","5451468","7957213","Coal Age Magazine","https://www.coalage.com/feed/","//coalage.com","Dive into Featured Articles, Breaking News, U.S & Global News, and more from Coal Age covering all the latest Market swings, Pricing, and more. The Coal Age is a magazine for professionals in the coal mining and processing industries and is considered a highly respected and well-read trade journal among coal operators.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957213/fe/5239970","5239970","7957213","Engineering & Mining Journal","https://www.e-mj.com/feed/","//e-mj.com","Founded in 1866, Engineering & Mining Journal is a monthly B2B trade journal serving the mining and mineral processing sectors. From gold to diamonds, copper to nickel and iron ore to coal, E&MJ regularly covers 28 categories of metals and minerals mining and processing for a worldwide market. It is  is the leading trade journal for mining and mineral processing professionals, specializing in hardrock mining worldwide.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957213/fe/5240008","5240008","7957213","Mining Review Africa","https://www.miningreview.com/feed/","//miningreview.com","Mining Review Africa is the leading monthly magazine and digital platform in the African mining industry. MRA serves as a knowledge, news and information sharing platform which drives upliftment and sustainable development across the mining sector in Africa through articles on project developments and the technology and financial models that drive them.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957213/fe/5451463","5451463","7957213","Mining » Coal","https://www.mining.com/commodity/coal/feed/","//mining.com","Gather the top stories on Coal, Industry updates, Market trends, Company News, Mergers, and more from Mining.com, the No 1 source of global mining news and opinion. We are committed to bringing everybody involved in mining comprehensive and timely news and insights that cover all aspects of the industry across all regions.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957213/fe/347893","347893","7957213","MINING.com","https://www.mining.com/feed/","//mining.com","Mining news and commentary from around the globe. Daily updates on gold and commodity prices, exploration, mine development and mining company activities.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957213/fe/4922383","4922383","7957213","Tradelink Publications","https://mqworld.com/feed/","//mqworld.com","Coal International is a global, bi-monthly publication for the coal mining industry, reporting on worldwide news and developments together with plant and equipment, and distributed to coal mining operations worldwide.","","","10","true",""
